id,Event,Distance,Sex,Ranking,Time 1,Miliseconds,Relay,When,Swimmer,id2,Swimmer nationality,nCountry,Continent nationality,nContinent,Date,Meet,Meet location
swim482,100 m breaststroke,100,Male,41,01:00.29,60003,,Final,Ed Moses,Ed_Moses,United States,17,America,19,"Wednesday, March 28, 2001",,"Austin, United States"
swim483,100 m breaststroke,100,Male,42,01:00.26,60003,,Final,Roman Sludnov,Roman_Sludnov,Russia,5,Europe,204,"Thursday, June 28, 2001",,"Moscow, Russia"
swim484,100 m breaststroke,100,Male,43,59.97,59097,,Final,Roman Sludnov,Roman_Sludnov,Russia,19,Europe,704,"Friday, June 29, 2001",,"Moscow, Russia"
swim485,100 m breaststroke,100,Male,44,59.94,59094,,Final,Roman Sludnov,Roman_Sludnov,Russia,18,Europe,625,"Monday, July 23, 2001",,"Fukuoka, Japan"
swim486,100 m breaststroke,100,Male,45,59.78,59078,,Final,Kosuke Kitajima,Kosuke_Kitajima,Japan,86,Asia,115,"Monday, July 21, 2003",,"Barcelona, Spain"
swim488,100 m breaststroke,100,Male,47,59.13,59013,,Final,Brendan Hansen,Brendan_Hansen,United States,163,America,171,"Tuesday, August 1, 2006",,"Irvine, United States"
swim487,100 m breaststroke,100,Male,46,59.3,59003,,Final,Brendan Hansen,Brendan_Hansen,United States,206,America,215,"Thursday, July 8, 2004",,"Long Beach, United States"
swim489,100 m breaststroke,100,Male,48,58.91,58091,,Final,Kosuke Kitajima,Kosuke_Kitajima,Japan,93,Asia,122,"Monday, August 11, 2008",,"Beijing, China"
swim490,100 m breaststroke,100,Male,49,58.58,58058,,Final,Brenton Rickard,Brenton_Rickard,Australia,222,Oceania,223,"Monday, July 27, 2009",,"Rome, Italy"
swim491,100 m breaststroke,100,Male,50,58.46,58046,,Final,Cameron van der Burgh,Cameron_van_der_Burgh,South Africa,9,Africa,9,"Sunday, July 29, 2012",,"London, UK"
swim492,100 m breaststroke,100,Male,51,57.92,57092,,Final,Adam Peaty,Adam_Peaty,United Kingdom,49,Europe,769,"Friday, April 17, 2015",,"London, UK"
swim493,100 m breaststroke,100,Male,52,57.55,57055,,Final,Adam Peaty,Adam_Peaty,United Kingdom,21,Europe,549,"Saturday, August 6, 2016",,"Rio de Janeiro, Brazil"
swim494,100 m breaststroke,100,Male,53,57.13,57013,,Final,Adam Peaty,Adam_Peaty,United Kingdom,14,Europe,390,"Sunday, August 7, 2016",,"Rio de Janeiro, Brazil"
swim1692,100 m breaststroke,100,Female,1,01:20.30,80003,,,Karin Beyer,Karin_Beyer,East Germany,114,Europe,358,"Sunday, July 20, 1958",,"Berlin, East Germany"
swim1693,100 m breaststroke,100,Female,2,01:19.60,79006,,,Karin Beyer,Karin_Beyer,East Germany,197,Europe,676,"Friday, September 12, 1958",,"Leipzig, East Germany"
swim1694,100 m breaststroke,100,Female,3,01:19.10,79001,,,Wiltrud Urselmann,Wiltrud_Urselmann,West Germany,10,Europe,491,"Saturday, March 12, 1960",,"Z¸rich, Switzerland"
swim1695,100 m breaststroke,100,Female,4,01:19.00,79000,,,Ursula K¸per,Ursula_Kuper,East Germany,78,Europe,224,"Thursday, July 14, 1960",,"Leipzig, East Germany"
swim1696,100 m breaststroke,100,Female,5,01:18.20,78002,,,Barbara Gˆbel,Barbara_Gobel,East Germany,167,Europe,539,"Saturday, July 1, 1961",,"Rostock, East Germany"
swim1697,100 m breaststroke,100,Female,6,01:17.90,77009,,,Claudia Kolb,Claudia_Kolb,United States,617,America,645,"Saturday, July 11, 1964",,"Los Angeles, United States"
swim1698,100 m breaststroke,100,Female,7,01:17.20,77002,,,Svetlana Babanina,Svetlana_Babanina,Soviet Union,33,Europe,194,"Thursday, September 3, 1964",,"Moscow, Soviet Union"
swim1699,100 m breaststroke,100,Female,8,01:16.50,76005,,,Svetlana Babanina,Svetlana_Babanina,Soviet Union,20,Europe,114,"Tuesday, May 11, 1965",,"Tashkent, Soviet Union"
swim1700,100 m breaststroke,100,Female,9,01:15.70,75007,,,Galina Prozumenshchikova,Galina_Prozumenshchikova,Soviet Union,48,Europe,366,"Sunday, July 17, 1966",,"Leningrad, Soviet Union"
swim1701,100 m breaststroke,100,Female,10,01:15.60,75006,,,Catie Ball,Catie_Ball,United States,45,America,51,"Wednesday, December 28, 1966",,"Fort Lauderdale, United States"
swim1702,100 m breaststroke,100,Female,11,01:14.80,74008,,,Catie Ball,Catie_Ball,United States,821,America,852,"Monday, July 31, 1967",,"Winnipeg, Canada"
swim1703,100 m breaststroke,100,Female,12,01:14.60,74006,,,Catie Ball,Catie_Ball,United States,719,America,749,"Saturday, August 19, 1967",,"Philadelphia, United States"
swim1704,100 m breaststroke,100,Female,13,01:14.20,74002,,,Catie Ball,Catie_Ball,United States,450,America,474,"Sunday, August 25, 1968",,"Los Angeles, United States"
swim1705,100 m breaststroke,100,Female,14,01:13.58,73058,,,Cathy Carr,Cathy_Carr,United States,540,America,566,"Saturday, September 2, 1972",,"Munich, West Germany"
swim1706,100 m breaststroke,100,Female,15,01:12.91,72091,,,Renate Vogel,Renate_Vogel,East Germany,89,Europe,251,"Thursday, August 22, 1974",,"Vienna, Austria"
swim1707,100 m breaststroke,100,Female,16,01:12.55,72055,,,Christel Justen,Christel_Justen,West Germany,12,Europe,748,"Friday, August 23, 1974",,"Vienna, Austria"
swim1708,100 m breaststroke,100,Female,17,01:12.28,72028,,,Renate Vogel,Renate_Vogel,East Germany,95,Europe,281,"Sunday, September 1, 1974",,"Concord, United States"
swim1709,100 m breaststroke,100,Female,18,01:11.93,71093,,,Carola Nitschke,Carola_Nitschke,East Germany,7,Europe,26,"Wednesday, June 2, 1976",,"Berlin, East Germany"
swim1710,100 m breaststroke,100,Female,19,01:11.11,71011,,,Hannelore Anke,Hannelore_Anke,East Germany,75,Europe,219,"Thursday, July 22, 1976",,"Montreal, Canada"
swim1711,100 m breaststroke,100,Female,20,01:10.86,70086,,,Hannelore Anke,Hannelore_Anke,East Germany,76,Europe,220,"Thursday, July 22, 1976",,"Montreal, Canada"
swim1712,100 m breaststroke,100,Female,21,01:10.31,70031,,,Yuliya Bogdanova,Yuliya_Bogdanova,Soviet Union,29,Europe,167,"Tuesday, August 22, 1978",,"West Berlin, West Germany"
swim1714,100 m breaststroke,100,Female,23,01:10.11,70011,,,Ute Geweniger,Ute_Geweniger,East Germany,72,Europe,215,"Thursday, July 24, 1980",,"Moscow, Soviet Union"
swim1713,100 m breaststroke,100,Female,22,01:10.20,70002,,,Ute Geweniger,Ute_Geweniger,East Germany,181,Europe,598,"Monday, May 26, 1980",,"Magdeburg, East Germany"
